Brand,Scope,URL
Bambu Lab,H2C profile infrastructure,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles/BBL
SUNLU,PLA,https://www.sunlu.com/products/pla-3d-printing-filament
SUNLU,PLA+,https://www.sunlu.com/products/pla-plus-filament
SUNLU,PLA+ 2.0,https://www.sunlu.com/products/pla-plus-2-0-filament
SUNLU,Matte PLA,https://www.sunlu.com/products/pla-matte-filament
SUNLU,PETG,https://www.sunlu.com/products/petg-3d-printing-filament
SUNLU,ABS,https://www.sunlu.com/products/abs-3d-printing-filament
SUNLU,TPU 95A,https://www.sunlu.com/products/tpu-95a-flexible-filament
ELEGOO,"ELEGOO PLA",https://eu.elegoo.com/en-dk/products/pla-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PLA Plus",https://eu.elegoo.com/en-nl/products/elegoo-pla-plus-filament-1-75mm-4-colors-10kg
ELEGOO,"ELEGOO Rapid PLA Plus",https://eu.elegoo.com/de-at/products/rapid-pla-plus-filament-1-75mm-grey-10kg
ELEGOO,"ELEGOO PLA Pro",https://eu.elegoo.com/collections/filaments/products/pla-pro-filament-1-75mm-colored-10kg
ELEGOO,"ELEGOO PLA Matte",https://eu.elegoo.com/en-it/products/pla-matte-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PLA Silk",https://eu.elegoo.com/en-nl/products/elegoo-silk-pla-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO Rapid PETG",https://eu.elegoo.com/en-ie/collections/elegoo-coupon-eligible-productsinclude-cc/products/rapid-petg-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PETG Pro",https://eu.elegoo.com/en-at/products/petg-pro-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PETG Translucent",https://eu.elegoo.com/en-es/products/petg-translucent-filament-10-kg
ELEGOO,"ELEGOO PETG-CF",https://eu.elegoo.com/products/petg-cf-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PETG-GF",https://eu.elegoo.com/en-ie/products/petg-gf-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO ASA",https://eu.elegoo.com/en-ch/products/asa-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PAHT-CF",https://eu.elegoo.com/products/paht-cf-filament-1-75mm-colored-1kg
ELEGOO,"ELEGOO PC-FR",https://eu.elegoo.com/en-ax/products/pc-fr
ELEGOO,"ELEGOO PET-CF",https://eu.elegoo.com/en-be/products/pet-cf
ELEGOO,"ELEGOO Rapid TPU 95A",https://eu.elegoo.com/en-es/products/rapid-tpu-95a-filament-1-75-mm-colored-10-kg
Inland,"Inland PLA",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PLA Basic",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PLA+",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PLA+ High Speed",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PLA-CF",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PETG",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PETG+",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland PETG+ High Speed",https://www.microcenter.com/site/content/inland%20filament.aspx
Inland,"Inland TPU 95A",https://www.microcenter.com/site/content/inland%20filament.aspx
Flashforge,"Flashforge PETG-CF",https://www.flashforge.com/products/flashforge-petg-cf
